unique_id,journal_name,special_issue,key_topics
2025-1229-call-for,"Ecospirituality in Asia: Narratives of Care, Conservation, and Sustainability",True,"Ecospirituality, sustainability, Indigenous lifeways, Environmental conservation, Asian cultures, Animism"
2025-1221-edith-wharton,Edith Wharton Review,True,"Edith Wharton, popular culture, adaptations, film studies, periodical context"
2025-1219-hybrid-08,Hybrid,True,"Imitation, Parody, Adaptations, Translation, Mimesis, Representation, Fanfiction, Cosplay, Artificial Intelligence, Virtual Worlds, Cultural Performance, Racial Performance, Gender Performance"
2025-1216-critical-thinking,Double Helix: A Journal of Critical Thinking and Writing,False,"writing pedagogy, critical thinking pedagogy"
2025-1214-indigenous-knowledge,Bandung: Journal of the Global South,True,"Indigenous knowledge system, climate change, decoloniality, Modernity, Education, customary law, Dharma, religion, culture, food, dress, family values, ethics, land rights, Sustainable Development Goals, border thinking, pluriversality, film, performative art, gender relations, cosmology, governance, happiness, well-being, recovery, literature, folktales, epics"
2025-1213-indigenous-knowledge,Bandung: Journal of the Global South,True,"Indigenous knowledge system, climate change, Education, customary law, Dharma, religion, culture, food, dress, family values, ethics, land rights, Sustainable Development Goals, film, performative art, gender relations, cosmology, governance, happiness, well-being, literature, agency"
2025-1206-william-james,William James Studies,False,"James and the theory and practice of literary interpretation, James and his relationship to modernism, realism, other literary genres, James and nineteenth and/or early twentieth-century aesthetic movements, James’s philosophies of psychology, pragmatism, religion, literary authors/texts, James and contemporary interpretive contexts, including critical race theory, feminism, queer theories, ecocriticism, religious studies, game studies, archival approaches"
2025-1203-ade-bulletin,ADE Bulletin,True,"Preparing the next generation of department leaders, Perspectives from outgoing leaders, Perspectives from incoming leaders, Faculty development workshop series on leadership, Emergency succession planning, Building a deep(er) bench, Sustainable documentation development practices, Where to start when you’re in the weeds, Leadership skills, Strategic succession planning, Survival in politically volatile times, What to do when you’re “it” by default"
2025-1179-atras-journal,Atras Journal,False,"literature, gender studies, cultural studies, linguistics, education, language studies, translation, social sciences, arts"
2025-1167-teaching-writing,The International Exchanges on the Study of Writing Book Series from The WAC Clearinghouse,False,"decolonial practices of writing, writing program administration, politics and linguistic identity, social justice, localized theories of writing, localized writing pedagogies, positionality, geopolitical pressures, technology"
2025-1158-special-issue,JACLR,True,"Queering girlhood, sapphic and trans girlhoods, Indigenous girlhoods, Girls and postfeminism, Girls and activism, Dissenting girlhoods, Utopian/dystopian representations of girlhoods, Refugee girlhoods, Intersections of gender, class, race, ability, sexuality and/or religion across girlhoods, Postcolonial or decolonial girlhoods"
2025-1150-haunted-cities,University of Wales Press Horror Studies series,False,"Urban Hauntologies, theorizing spectral temporalities, ruins, palimpsestic geographies, Media & Mediation, film, television, podcasts, video games, VR/AR, YouTube series that (re)construct urban hauntings, Literary Ghostscapes, gothic, weird, speculative, realist narratives that map haunted streets and buildings, Spectral Infrastructures, abandoned transit lines, sewers, data centres, smart-city dead zones, digital afterlives, Memory & Trauma, post-conflict or post-disaster ghosts, memorial architecture, dark tourism circuits, Sound & Haunting, sonic ecologies, urban field recordings, auditory hauntings, Embodied Haunting, flânerie, psychogeography, paranormal investigations, affective mapping of fear, Decolonial & Queer Hauntings, counter-memories, suppressed histories, marginalized presences in the city, Climate & Eco-Hauntings, rising waters, toxic ruins, environmental spectres in urban futures, Methodologies of the Uncanny, digital humanities, GIS, XR, ethnography, archival excavation, art practice as research"
2025-1149-congist26-interdisciplinary,Congist Book Series by IU-Press,False,"Cultural Crises and Sustainability, Representations of Crises and Sustainability in Media, Cinema, and Art, The Crisis of Art Criticism, Aesthetic Reflections of the Crisis, Crisis in Performing Arts, Crisis, Sustainability, and Misinformation, Social Crises and Transformation, Sociological and Psychological Approaches, Information and Records Management in Times of Crisis, Digitalization, Archiving, and Sustainability, Eco-Communication in Crises, Crisis and Ethics, War, Crisis, and Sustainability, The Impact of Conflict on Societal Continuity, Sustainability and Resilience in Historical and Archaeological Perspectives, Utopian and Dystopian Visions of Crisis and Sustainability, Geographical Approaches to Environmental Crises and Sustainable Solutions, Philosophical Reflections on the Relationship Between Crisis and Sustainability, Crises and Sustainability in the Ancient World, Anthropological Perspectives on the Social and Cultural Impact of Crises, The Language of Crisis, Linguistic Perspectives, Eco-Linguistics and Sustainability, The Role of Discourse in Shaping Collective Action about Crisis and Sustainability, Discourse(s) of Crisis, Semiotics of Crisis, Multimodal Communication in Crisis Situations, Ecolinguistic and Ecosemiotic Perspectives, Ecocriticism, Ecofeminism, the Climate Crisis, Literary Representations of Sustainability, Apocalyptic and Post-Apocalyptic Fiction, Crisis, Survival, and Sustainable Futures, Literary Depictions of Resource Scarcity and Environmental Collapse, The Evolution of Crisis-Related Vocabulary, Historical and Contemporary Linguistic Trends, Narratives of Crisis and Sustainability, Literary Responses to Environmental and Social Challenges, Historical Perspectives on Crisis and Recovery, The Psychological Impacts of Crises, Eco-translation and Climate Crisis, Disaster and Crisis Interpreting, Crisis in Logic, Episteme and Crisis, Phenomenology of Crisis, Postmodernity and Crisis, Ontology and Crisis, Identity construction and Crisis, Language and Signs of Crisis, The Role of Globalisation in Triggering and Resolving Crises, Local Effects of Global Crises, Preparation for Future Crises in the Light of Historical Analyses, Sustainable Development and Crisis Prevention Policies, Income Inequality, Class Conflicts and Crises, The Search For Social Justice and Crisis Management, Wars, Famines, And Waves of Migration, The Effects of Refugee Crises on International Politics, Geographical Dimensions of the Climate Crisis, Natural Disasters and Social Vulnerability, Resource Crises and Geopolitical Tensions, Urbanization and Ecological Crisis, Digital Crises and Social Interaction, Social Impacts of Crises, Post-Crisis Psychological Transformation, Resilience, Adaptation Processes, Psychological Impacts of Crises"
2025-1147-embodied-spaces,LLIDS,False,"Calibration of AI into the world, Body as perceived in virtual realms, The body in VR games, Augmented Reality, Blended Reality and Mixed Reality, Digital imagination in city planning, Architecture in posthuman world, Architecture and multi-sensory experience, E-Commerce and shopping spaces, Smart cities, Digital urbanism, Virtual ecologies, Gig economy and digital platforms, Digital Footprint, Temporal and spatial travel through digital platforms, Digital era and literature, Multi-platform storytelling"
2025-1144-mothers-mothering,Genre Fiction and Film Companions at Peter Lang (Oxford),False,"Motherhood and Trauma, Creating horror from the need to ‘mother’, Familial relationships/dynamics in King’s fiction, Generational Trauma and its effects on the mothers in King’s works, Depictions of mothers in King’s adapted works, Religion and its influence on Mothering Strategies, Pregnancy in King’s Fiction, The rejection of motherhood in King’s fiction, Mental Illness in the mothers of Stephen King, Navigating gender through motherhood, The recuperative function of motherhood, Resilience and Motherhood, Queer Coding mothers in King’s fiction, Motherhood, fear and loss, Defending children in King’s fiction, Villainy and the ‘doubly deviant’ female, Motherhood and control, Incest, Sexuality and Motherhood, the mothers in Stephen King’s Fiction"
2025-1141-songs-in,Cahiers Élisabéthains,True,"songs in Shakespeare, dramatic questions, songs and sonnets, meter and music, birdsong, singers’ voice changes, non-English songs, missing songs, performance history"
2025-1140-european-journal,European Journal of American Culture,False,"American culture, literature, film, television, visual cultures, history, politics, comics, graphic novels, video games, photography, music, Teaching American Culture"
2025-1139-call-for,Journal of Digital Media & Policy (JDMP),True,"Metaverse, policy, digital media, virtual spaces, data, economies, GDPR, antitrust laws, behavioural data, AI-generated personas, deepfake influencers, influencer marketing, subliminal ads, branded environments, advertising standards, consumer protection policies, data privacy policies, surveillance, user consent, platform governance, content moderation policies, algorithmic targeting, brand experiences, consumer engagement, advertising, commercial speech, privacy policies, algorithmic targeting, digital identity, representation, virtual economies, IP rights, platform power policies, cultural narratives, inclusivity, global policy frameworks, public communication, state messaging"
2025-1138-swccl-2025,Christianity and Literature,False,"anger in literature, role of anger and catharsis in Christian literature, emotions and literary interpretation, communal worldviews through shared emotional experience, narrative community, righteous anger"
2025-1136-call-for,Studies in Comics,True,"Disney, Mickey Mouse, Donald Duck, comics magazines, children’s press, transnational networks, licensing, cultural history, readers"
2025-1132-call-for,Journal of Italian Cinema & Media Studies,True,"Gillo Pontecorvo, Italian cinema, fictional films, documentary films, Venice Film Festival, Italian Communist Party (PCI), journalist, music"
2025-1129-non-a,NONA Journal of Alternative Sexualities in Ancient and Modern Literature and the Arts,False,"alternative sexualities, non-conforming sexualities, historical investigations, psychoanalysis, thematic criticism, queer theory, artistic forms, cultural traditions"
2025-1127-architectures-of,Historical Reflections/Réflexions Historiques,True,"Ecology, climate, Anthropocene, Mysticism, eschatology, world religions, Messianic movements, Scale and temporalities, nano-, cosmic-, natural sciences, Human bodies, archaeological, speculative contexts, Representations of apocalypse, visual arts, music, Narrative perspectives, fictions, genres, prophetic voices, survivor tales, Medicine, technology, human sin, Historical frames, cataclysm, cultural extinction"
2025-1126-call-for,Peter Lang’s Genre Fiction and Film Companions series,False,"horror videogame, cultural impacts, sub-genres, monsters, zombies, ghosts, eldritch abominations, psychological horror, jump scares, cult games, genre, storytelling, design, affect"
2025-1125-return-to,Journal of American Culture,True,"Ryan Coogler, Sinners, Southern Culture, inter/intra-racial dynamics, spirituality, regional identity, religion, race, history, redemption, film, visual culture studies, Southern studies, African American studies, gender studies, theology, history, cultural geography"
2025-1123-femspec-call,Femspec,False,"science fiction, fantasy, magical realism, surrealism, myth, folklore, supernatural genres, metamorphosis, evolution, change, renewal, coming out process, fluctuations of queer identity, desire"
2025-1122-call-for,Journal of Comparative Literature and Aesthetics,False,"Comparative Literature, Aesthetics"
2025-1119-la-revisionrevision,Climas,False,"Revising the canon, Revising literary history, Revising texts, Revision through recovery work, Re-Vision, Exclusionary revisions, Inventive revisions, Political revisions, Historical and intellectual revisionism, Artistic reinterpretations, Theoretical approaches to revision, Memory and commemoration, Revision in translation as post-editing, Revision in translation as retranslation, Sensitivity reading and revision, Revision in self-translation, Fan fiction as revision"
2025-1118-vol-12,Pulse: the Journal of Science and Culture,False,"cultural studies, history, sociology, philosophy of science, medical humanities, digital humanities, animal studies, environmental studies, climatology, neuroscience, cognitive studies"
2025-1113-cfp-between,Between,True,"Sympoetry as global poetry, Sympoetry as total poetry, Sympoetry as hybrid poetry, Sympoetry as poet-ensemble, Sympoetry as community poetising, Sympoetry as symbiosis"
2025-1105-call-for,Dramatherapy,True,"Development of dramatherapy in European countries, Multiculturalism and dramatherapy in Europe, Local culture and folk-traditions in dramatherapy practice and approaches in Europe, Dramatherapy and the arts in Europe, Colonialism and European dramatherapy, Research trends in European dramatherapy, Dramatherapy and the cycle of life in Europe, The use of story and text in European dramatherapy, Ancestral roots of dramatherapy in Europe"
2025-1103-call-for,Edited Volume,True,"The supernatural and the uncanny in Bengali short stories and novels, Colonial hauntings and postcolonial trauma, Gothic spaces, Ghosts, spirits, and possession in Bengali folklore and religious practices, Gender, sexuality, and repression in Bengali Gothic narratives, The Gothic in Bengali cinema and television, Partition, memory, and spectrality, Translation and transnational flows of the Gothic, Eco-Gothic and environmental anxieties in Bengal, Children’s literature and the Gothic imagination"
2025-1097-literary-druid,Literary Druid,False,"History of the English Language and Culture, ELT, Linguistics, Criticism, Literature, Creative writing in the English Language, Literature and Psychology, Women in English Literature, Eco-criticism, Comparative Literature, World Literatures in English Translation"
2025-1096-literary-musings,Literary Musings,False,"literature, linguistics, culture, history, critical theory"
2025-1095-jeasa-journal,JEASA,True,"representation of others, perception of otherness, multicultural nation, forms of marginalization, diaspora of forms"
2025-1093-cfp-blood,Berlin Universities Publishing,False,"Theological, Cultural-historical, Aesthetic, Narrative, Ludic, Psychological"
2025-1090-trans-joy,Edited Volume,True,"Cinematic representations of queer joy in Latin American films, Celebration of muxe identities in Mexican cinema, Extravaganza and performance as tools of queer resistance, Community-building and affection in trans* and queer narratives, The role of afeto in resisting gender and sexual norms, The aesthetics and politics of joy in queer cinema, Black trans* joy and the reclaiming of space and narrative, Joy as subversion in travesti, muxe, and third-gender depictions, Representations of joy as resistance to colonial and imperial legacies, Speculative memory and queer futurities in film, Crip joy and the intersection of disability and trans* identities, Environmental trans* studies and queer ecologies, Indigenous queer identities and decolonial representations in Latin American cinema"
2025-1092-chenkaantal-call,Chenkaantal,True,"Tamil language, Tamil Literature, Tamil Culture, Tamil Linguistics, Modern trends in Tamil studies"
2025-1091-cfp-for,liquid blackness: journal of aesthetics and black studies,False,"Permanent and Impermanent Records, Informal archives and transmission lines, Intergenerationality, intuition, and initiation, Gathering practices, Rehearsal, Speaking up, sounding out, sending off, Stable and unstable recording materials, Broken Records and Other Modes of Deflection, Obfuscation and Withholding, Rethinking the ends and the means, Profligacy, expenditure, generosity, Crate digging, tape-mixing, sampling, The lost and found, Backmasking, Secrets and rumors, The idiosyncratic, the inside joke, the aside, Records, Held, Released, Revisited, Citational practices, The unseen and taken for granted, The minor, the outcast, the emergent"
2025-1089-journal-of,Journal of European Popular Culture,False,"European media, literature and the writing arts, film, music, new media, art and design, architecture, drama and dance, fine art"
2025-1088-jeasa-journal,Journal of the European Association for Studies of Australia(JEASA),True,"Australian studies, European connection, comparative perspectives"
2025-1086-victorians-a,Victorians: A Journal of Culture and Literature,True,"Victorian religion, Theoretical approaches (e.g. post-secular, post-colonial, ecological), Religious novels/poetry/periodicals, Working-class poetry and religion, Religion and race, Gender and/or sexuality and religion, Supernatural fiction and religion (e.g. ghost stories, fantasy, fairytales), Reading practice and religion (e.g. devotional reading, communal reading), Religious readings of literature (e.g. Shakespeare), Natural theology, Victorian readings and/or rewritings of religious texts (e.g. the Hebrew Bible, Christian Bible, Bhagavad Gita, parables, wisdom literature, typology), New movements (e.g. theosophy, spiritualism), Representations of the Victorian religious ‘other’, Victorian books and religion"
2025-1085-culinary-crossovers,"Journal of Food, Culture & Society",True,"Authenticity, ambiguity, and essentialism in South Asian food histories, Colonial and transoceanic foodways, Culinary memories, diaspora, and cultural crossovers, Postcolonial and anti-colonial resilience in local food cultures, Food, nostalgia and commensal networks in heritage-making, Food, caste, and modalities of exclusion, Dalit cuisine: its variations and representations in mainstream culinary narratives, Hunger and the political ecology of food, Food, heritage, and embodied knowledge, Gastroimperialism and the transformation of culinary histories in the Global South, Food, mobility, and privilege"
2025-1084-invitation-to,Archiv für das Studium der Neueren Sprachen und Literaturen,True,"current theoretical and methodological debates, new developments in any field of literary theory, approaches to a particular genre, author, or literary period, questions of literary history, the current state of literary studies"
2025-1083-beyond-the,ASAP/Journal,True,"Anthropocene, environmental justice, political justice, racial justice, economic justice"
2025-1067-world-lgbtqia2s,World LGBTQIA2S+ Memorialisation and Remembrance in the 21st Century,False,"LGBTQIA2S+ memorials/monuments, memorialisation practices and other commemorative projects (including countermemorials or counternarratives), Indigenous, 2S, and global south knowledges and practices of remembrance and commemoration, Postcolonial and/or decolonial memorialisation/remembrance approaches, LGBTQIA2S+ memorial projects that engage with historical figures or events from previous centuries, LGBTQIA2S+ memorial projects specifically engaging with film, audio, new media and/or digital forms, Queer engagements with monument and remembrance theory, and/or memory studies, Critical engagements between LGBTQIA2S+ remembrance practices and theories of queer time, queer failure, queer ecology, queer history, queer phenomenology, queer futurity, and so on."
2025-1063-special-issue,Philosophical inquiry and narrative accounts of trauma and exile,True,"Philosophical Foundations of Trauma, The Traumatic Roots of Exile, Memory and the Philosophy of Healing and Reconciliation, Philosophical and Cultural Concepts in antiquity, Trauma and Culture"
2025-1062-call-for,Prospective Essay Volume,False,Indian subcontinent-set novel
2025-1058-jfa-submission,Journal of the Fantastic in the Arts,False,"fantastic in world literatures and media, African/Diaspora Studies, anthropology, area studies, critical game studies, disability studies, future studies, gender studies, history, Indigenous studies, music, philosophy, political science, postcolonial studies, psychology, queer studies, religious studies, science and technology studies, sociology"
2025-1056-call-for,Telling Italy Abroad: National Narratives andthe Transnational Adaptation of Italian Literature on TV,False,"Media and Screen Studies (TV series, RAI fiction, screen adaptations), Renaissance Studies, Comparative Literature, Global Early Modern Studies, Italian Studies, Gender Studies"
2025-1050-henry-james,Henry James Review,True,"Henry James’s family, family-like relations in James’s fiction, nineteenth and early twentieth-century family, intimate groups in Henry James’s life or fiction, language of family life as an element of James’s style"
2025-1046-call-for,dialog,False,"Postcolonial Literature, Films and Literature, Translation, Literary Theory, Indian Writings in English, Bhasha Literature, Popular Culture, Life-writing, Literature and Climate Change, Diaspora Literature, Gender and Sex, Posthumanism, Affect Studies, New Media"
2025-1044-special-issue,Women's Studies: An Interdisciplinary Journal,True,"Representations of Gendered Violence in Literature, Intersectional and Marginalized Perspectives, Historical and Cultural Contexts, Resistance, Agency, Trauma, and Empowerment, Theoretical Approaches, Global and Comparative Frameworks, Media, Form, and Experimental Narratives"
2025-1040-edited-volume,IATIS Yearbook,False,"Translation and Cartographic Imagination, Metrical coordinates and Geospaces, Territoriality, Spatiality, Translational Plane, Geography and Geometry, Travel and Translation"
2025-1033-call-for,Entanglements:Journal of Posthumanities,False,"Genealogy of the Posthuman: Were We already Posthuman?, Anti/Trans/Meta/Post-humanism, Critical Posthumanism, Philosophical Posthumanism, Posthuman (Bio)Ethics, (Bio)Politics and Rights, Posthuman Citizenship and Digital Surveillance, Technology, Artificial Intelligence, Robophilosophy, The Anthropocene, Posthuman Ecology, Speciesism, Human Enhancements and Prosthesis, New Materialisms, Art, Media and Aesthetics in the Posthuman Era, Material Feminisms, Critical Plant Studies, Object-oriented-ontology, Speculative Realism, Posthumanities and the Animal Question, Sci-Fi and the Posthuman, Cli-Fi and the Posthuman, Digital (Post) humanities"
2025-1026-narratives-of,Litinfinite Journal,False,"Literary representations of land, water, and urban ecologies, Environmental degradation and climate displacement in postcolonial contexts, Indigenous resistance and ecological sovereignty, Gender, ecology, and ecofeminist critiques, Environmental justice and “slow violence”, Nature-culture binaries and alternative cosmologies, Society, Environment and Storytelling, The Anthropocene narratives in Postcolonial Poetry, Ecology and precarity of human beings during climate crisis, Dystopian narratives, Biopolitics and Literature, The Ecological Gothic in Literature and Social Science"
2025-1023-narratives-of,Litinfinite,True,"Literary representations of land, water, and urban ecologies, Environmental degradation and climate displacement in postcolonial contexts, Indigenous resistance and ecological sovereignty, Gender, ecology, and ecofeminist critiques, Environmental justice and “slow violence”, Nature-culture binaries and alternative cosmologies, Society, Environment and Storytelling, The Anthropocene narratives in Postcolonial Poetry, Ecology and precarity of human beings during climate crisis, Dystopian narratives, Biopolitics and Literature, The Ecological Gothic in Literature and Social Science"
2025-1022-special-issue,Research in Education Curriculum and Pedagogy: Global Perspectives,True,early childhood studies
2025-1012-cfp-screening,Film Journal,True,"film genres and the portrayal of female politicians/women in politics, the economic underpinnings of these representations for audiovisual industries (cinema and television), the role of networks in the growing representation of women in politics, the representation of women in politics and (non-)conformity with gender stereotypes, the relative scarcity, even today, of these representations, despite changing practices and audiences, and greater freedom afforded by the ‘all at once’ release of series episodes"
2025-1011-cfp-culture,Culture and Dialogue,False,"Orwell's relationships to emerging sub-fields of philosophy, e.g. political philosophy of language, political epistemology, surveillance ethics and philosophy of Artificial Intelligence, The philosophical significance of ideas and themes in Nineteen Eighty-Four, Orwell's attitudes to intellectuals and philosophers such as Bertrand Russell and Sartre, his attitude to professional philosophy, and his concern with the political consequences of philosophical questions and ideas, Particular views and themes of Orwell concerning poverty, freedom, imperialism, totalitarianism, socialism, truth and language, Philosophy of censorship and free speech"
2025-1008-cfp-culture,Culture and Dialogue,False,"Particular concepts and innovations characteristic of his thinking, His studies in the history of philosophy - Hume, Spinoza, Leibniz, Kant, Nietzsche, Bergson and Foucault, Deleuze's writings on the arts - cinema, Proust, the painter Francis Bacon and literature, His collaboration with Felix Guattari, The influence of his thought on diverse disciplines and domains, from anthropology and architecture to film studies and musicology, Deleuze's concept of philosophy, and his modes of philosophising - 'What is Philosophy?' (1991), Deleuze and dialogue - is writing more conducive to philosophising than discussion or conversation?, Deleuze and non-western philosophy"
2025-0995-special-dossier,REDEN,True,"The role of Indigenous filmmakers, writers and actors in reshaping images and narratives, Native American presence in social media digital activism, The Decolonization of the American literary canon by Native writers, Oral traditions and contemporary Native American storytelling, Indigenous artistic movements as forms of cultural resistance and belonging, Native American Women's Activism, Indigenous sovereignty, self-determination and federal policies, Urban Native Identities in the XXI century, Cultural activism and cultural appropriation, Indigenous artistic movements and their role in cultural resistance, Language revitalization and Native American education, Indigenous aesthetics in contemporary US, New forms of representation: Native American theatre, poetry and music, The complexities of Native identity and cultural belonging"
2025-0994-call-for,Journal of Postcolonial Writing,True,"Vernacular cosmopolitanism and South Asian city, Globalization and the vernacular in South Asian city, Vernacular narratives and the “world-class” city in South Asia, South Asian city fiction in the vernacular, The vernacular city and ‘minor’ readerships in South Asia, South Asian city and vernacular theatre cultures, South Asian city and vernacular poetry, South Asian city and little magazines in the vernacular, English and/as vernacular in South Asian city, Vernacular public sphere and the postcolonial city"
2025-0991-call-for,"International Journal of Humanities, Art and Social Studies",False,"Humanities and social science such as anthropology, Business studies, Communication studies, Corporate governance, Criminology, Cross-cultural studies, Demography, Development studies, Economics, Education, Language and Linguistics, History, Literature, Performing Art, Philosophy, Religion, Visual Arts, Anthropology, Area Studies, Archaeology, Culture and Ethics Studies, Economics, Ethics, Geography, History, Gender and Sexuality Studies, Geography, Industrial relations, Information Science, International relations, Law, Linguistics, Library science, Linguistics Literature, Media studies, Methodology, Paralegal, Performing arts (music, theatre & dance), Political science, Philosophy, Psychology, Population Studies,Public administration, Religious studies, Social welfare, Sociology, Women studies and so on"
2025-0989-cfp-international,International Journal on Integrating Technology in Education,False,"Education Policy and Leadership, Business Education, Educating the educators, Professional Development for teachers in ICT, Teacher Evaluation, Virtual and remote laboratories, Pedagogy Enhancement with E-Learning, Course Management Systems, Web-based tools for education, Games and simulations in Education, Learning / Teaching Methodologies and Assessment, Curriculum, Research and Development, Counselor Education, Integrating technology in curriculum: Challenges & Strategies, Collaborative & Interactive Learning, Tools for 21st Century learning, Learning Analysis, Student Selection Criteria in Interdisciplinary Studies, Global Issues in Education and Research, Technology Support for Pervasive Learning, Artificial Intelligence, Robotics and Human computer Interaction in Education, Mobile/ubiquitous computing in education, Web 2.0, Social Networking, Blogs and Wikis, Multimedia in Education"
2025-0985-philip-roth,Philip Roth Studies,True,"literary idols, historical trauma, psychological struggles, mortality, imagination, creativity, writing"
2025-0984-follow-the,Revista Canaria de Estudios Ingleses,True,"economic tropes, material conditions, usury, price theory, comparative studies"
2025-0946-call-for,Living in Languages,False,"translation as reading, interpretation, ideology, politics of adaptation, assimilation, cultural transmission, translation’s roles in maintaining or subverting hierarchies of power, migratory crossings and diasporic negotiations, colonial, postcolonial, and decolonial forces shaping language and meaning"
2025-0943-virtual-crime,Crime Fiction Studies,True,"The ‘cozy’ mystery game, The visual novel, The multiple-path mystery game, Action games with mystery or crime elements, Historical vs. contemporary settings in crime games, Crime in fantasy or scifi contexts, Player avatars as detective or criminal, The role of mysteries and crimes within unexpected genres, Representations of the detective or the citizen sleuth, Game examinations of policing and detection, Crime fiction pastiches in games, Adaptations of crime fiction or famous characters into game format, Evolution of different mystery genres from the literary to the ludic"
2025-0935-call-for,FEMSPEC,False,"theoretical speculative texts, creative speculative texts, film reviews, television reviews"
2025-0932-xenophobia-and,National Identities,True,"xenophobia, violence, capitalism, dehumanization, marginalized groups, others, rights, humanity, racist, sexist, nationalist ideologies, bare life, state-sponsored xenophobia, resistance, solidarity movements, nationalism"
2025-0927-call-for,Research in Contemporary World Literature,False,"modern and contemporary literary production, comparative, interdisciplinary, theoretically innovative, Postcolonial studies, Posthumanism, Feminist theory, African literature, Disability studies, Ecocriticism, Migration and diaspora studies"
2025-0919-institutionality-x,Theatre Journal,True,"state institutional support, authoritarianism, Counter- or anti-institutional performance formations, Institution-building efforts, institutional critiques, Limits and affordances of institutionality for performance cultures, performance practices"
2025-0917-staying-put,Theatre Journal,True,"staying put, artistic and political resistance, displacement, gentrification, systemic oppression, time, movement, progress, sustaining arts in contested spaces"
2025-0909-vulnerable-lives,"Vulnerable Lives, Precarious Existence: Contemporary Narratives of Vulnerability from the Global South",False,"social vulnerability, precarity, economic vulnerability, political vulnerability, health and vulnerability, environmental vulnerability, pandemics and vulnerable corporeality, vulnerability, biopower and resistance, refugeeism, migration and the precarity of existence, trauma, resilience and vulnerability, queerness and vulnerability, posthuman vulnerability, invulnerability"
2025-0908-call-for,A Humanities Pedagogy Approach to Modern Masculinity,False,"Humanities, masculinity, social media, film, television, AI, technology, videogames, intermediality, female radicalization"
2025-0905-call-for,Archipelago of Extremity:Fragmentation and Renovation in Puerto Rico,False,"Tourism, light and sound pollution, party politics, laws, AirBnBification, Global Warming, Construction, erosion, and abandonment, Pop-ulist music, education system, medicinal cannabis, Afro-Puertorriqueñidad, Trans lives, performance art, Deathways, migration, Power outages, effects on disability, Language resistance"
2025-0901-congreso-internacional,Comida e Identidad en los cuentos infantiles del Siglo XXI,False,"Comida como símbolo de identidad, Comida como metáfora, Rituales alimenticios como espacios de construcción y de transmisión, Migración y diáspora a través de la comida, Globalización, glocalización y culturas alimentarias, Alimentación, sostenibilidad y medioambiente, Alimentación y ecofeminismo, Comida y memoria, Comida, género y disidencias, Comida y violencia, Comida y ética animal, Comida y salud, Comida y reescrituras de la literatura infantil, Comida, literatura infantil y otras artes"
2025-0897-the-routledge,Routledge Handbook of AI and World Language Learning,False,"AI, Language Learning, Applications, Machine Learning, Personalized Learning, Adaptive Learning Systems, Motivation, Multilingual Education, Ethical Considerations, Language Teaching, Automated Language Instruction, Data-Driven Pedagogy, Teacher Training, Virtual Reality, Language Testing, Language Assessment, Policy, Bias, Future Trends"
2025-0896-cfp-variations,Variations,False,"Environment, Science, Memory, literary texts, visual culture, philosophy, environmental humanities, science and technology studies, memory studies"
2025-0894-the-world,The World of Warcraft Handbook: Twenty Years in Azeroth,False,"Storytelling, art direction, music, fan creations, player identities, race, gender, representations, digital ethnographies, monetisation, live service economies, retro gaming, politics of inclusion"
